,Computer Science,Information Technology,Software Development,Data Science and Analytics,Artificial Intelligence,Machine Learning,Cyber Security,Information Security,Computer Information Systems,Information Systems,Web Design,Mobile Application,Game Design,Software Testing,Networking,Robotics,Electrical Engineering,Electronics Engineering,Electronics and Communication Engineering,Electronics and Telecommunication Engineering,Electrical and Electronic Engineering,Power Engineering,Telecommunications Engineering,Instrumentation,Energy Systems Technology,Nuclear Engineering,Mechanical Engineering,Mechanical and Mechatronics Engineering,Mechatronics,Manufacturing Engineering,Industrial Engineering,Automotive Engineering,Aerospace Engineering,Aeronautical Engineering,Marine Engineering,Nanotechnology,Civil Engineering,Structural Engineering,Construction Management,Architecture,Architectural Engineering,Urban Planning,Geotechnical Engineering,Environmental Engineering,Chemical Engineering,Process Engineering,Petroleum Engineering,Biotechnology,Biomedical Engineering,Mining Engineering,Physics,Chemistry,Mathematics,Statistics,Astrophysics,Astronomy,Geophysics,Geology,Meteorology,Actuarial Science,Biology,Biochemistry,Microbiology,Genetics,Immunology,Neuroscience,Bioinformatics,Medical Technology,Public Health,Nursing,Physiotherapy,Pharmacy,Dentistry,Veterinary Science,Speech Therapy,Nutrition,Dietetics,Health Psychology,Forestry,Agriculture,Agronomy,Plant Science,Animal Science,Business Administration,Business Management,Project Management,Risk Management,Finance,Financial Management,Insurance,Banking,Taxation,Marketing,Advertising,Public Relations,Human Resource Management,Human Resource Development,International Business,Entrepreneurship,Supply Chain Management,Transportation Management,Business Analytics,Creative Writing,Drama,Painting,Sculpture,Photography,Ceramics,Music,Theatre,Journalism,Accounts,Economics,Hospitality and Tourism Management,Diploma,Psychology,Pharmaceutical Sciences,Medical Science,Computer Technology,Agricultural Science,General Studies,Law,Language and Literature,Political Science,Sales,English,Computing,History,Food Science,Interior Design,Life Science,Health Science,Sociology,Agribusiness,Marketing Management,Animation,Zoology,Business Analysis,Geography,Visual Arts,Physical Education,Forensic Science,Humanities,Operations,Digital Business,Product Design Engineering,Horticulture,Financial Services,Philosophy,Dental Hygiene,Clinical Sciences,Gender Studies,Travel and Tourism,Multimedia,Film,Logistics,Physiology,Healthcare,Medical Radiation Technology,Textile,International Relations,Aviation,Industrial Design,Criminology,Sports Science,Culinary Skills,Engineering Management,Graphics,Textile Engineering,Lab Technician,Radiologic Science,International Management,Construction,Drug Development,Fisheries,Public Administration,Biomedical Sciences,Behavioral Sciences,Culinary Arts,Material Science,Textiles,Sports Management,Anthropology,IT Business Analytics,Electromechanical Engineering,Event Management,Management Consulting,Technical Management,Transportation,Physical Sciences,Human Service,Plastics Engineering,Fire Science,Nanoscience,Elementary Education,Primary Education,Education Assistance,Early Childhood Education,Educational Training,Community Development,Dairy,Mobile Communication,Poultry,Marine Biology,Education Counseling,Psychiatric Nursing,Aviation Technology,Secondary Education,Therapist Assistant,Interactive Media,Mariculture,Legal Assistant,Developmental Service Worker,Library,Mining,Respiratory Care,Animal Care,Theology,Physical Activity,Cinematography,Organizational Management,Archaeology,Communicative Disorder,Justice and Emergency Services,Art,Oral Science,Child and Youth Worker,Fishery,Real Estate,Water Resource,Animal Conservation,Property Administration,Biomechanical Devices,Child Care,Criminal Science,Cytotechnology,Exercise,Fitness,Innovation,Aesthetics,Heating,Office Administration,Paper and Bioprocess,Studio Art,Interdisciplinary Studies,Police and Public Safety,Publishing,Autism,Bakery and Pastry Arts,Kinesiology,Spatial Engineering,Wine Making,Acupuncture,Court Support,Exhibition/Event,Gerontology,Hair Styling,Interdisciplinary Engineering,Midwifery,Museum and Gallery Studies,Brewery,Carpentry,Esthetic Services,Ethnic Studies,Firefighting,International Criminology,Military,Reading,Therapeutic Recreation,Welding and Fabrication,Winery,Woodworking
Computer Science,100,100,85,90,100,85,85,85,70,85,85,85,85,85,85,75,60,70,40,75,75,75,75,80,75,75,40,30,75,75,75,40,75,75,75,75,30,75,75,10,10,75,75,60,20,75,75,15,75,75,70,15,85,85,60,60,60,60,60,60,60,15,15,60,60,60,60,60,60,10,10,10,10,60,60,60,60,60,60,15,60,60,60,30,25,50,50,20,25,50,50,50,25,25,50,20,25,25,50,50,50,80,20,20,20,20,20,20,20,20,20,15,25,10,20,15,15,10,20,15,20,10,5,10,50,10,95,20,60,15,60,60,15,10,30,5,15,80,25,15,5,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,20,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Information Technology,95,100,85,85,85,85,85,85,70,95,85,85,85,85,85,75,60,70,40,75,75,75,75,80,75,75,40,30,75,75,75,40,75,75,75,75,30,75,75,10,10,75,75,60,20,75,75,15,75,75,60,15,75,85,60,60,60,60,60,60,60,15,15,60,60,60,60,60,60,10,10,10,10,60,60,60,60,60,60,15,60,60,60,30,25,50,50,20,25,50,50,50,25,25,50,20,25,25,50,50,50,70,20,20,20,20,20,20,20,20,20,15,25,10,20,15,15,10,20,15,20,10,5,10,50,10,95,20,60,15,60,60,15,10,30,5,15,80,25,15,5,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,20,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Software Development,85,85,100,85,85,85,85,85,85,85,85,85,85,95,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Data Science and Analytics,85,80,85,100,90,85,85,85,60,85,85,85,85,85,85,75,50,60,30,75,75,75,75,90,75,75,30,20,75,75,75,35,75,75,75,75,20,75,75,10,10,75,75,60,15,75,75,20,75,75,70,20,90,95,60,60,60,60,60,60,60,15,20,60,60,60,60,60,60,10,10,10,15,60,60,60,60,60,60,15,60,60,60,40,35,50,50,35,35,50,50,50,30,35,50,25,30,35,50,50,50,85,20,20,20,20,20,20,20,20,20,30,35,10,20,15,20,10,20,15,20,10,5,10,50,15,80,20,60,20,60,60,15,15,35,10,20,90,30,15,10,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,25,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Artificial Intelligence,85,85,85,95,100,95,85,85,60,85,85,85,85,85,85,75,50,60,30,75,75,75,75,85,75,75,30,20,75,75,75,30,75,75,75,75,20,75,75,5,5,75,75,60,15,75,75,15,75,75,70,15,80,90,60,60,60,60,60,60,60,10,15,60,60,60,60,60,60,5,5,5,10,60,60,60,60,60,60,10,60,60,60,20,20,50,50,15,20,50,50,50,20,20,50,15,20,20,50,50,50,75,20,20,20,20,20,20,20,20,20,15,20,5,20,10,10,5,20,10,15,5,5,5,50,10,85,20,60,10,60,60,10,10,25,5,10,85,20,10,5,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,20,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Machine Learning,85,85,85,85,95,100,85,85,85,85,85,85,85,85,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Cyber Security,85,85,85,85,85,85,100,95,85,85,85,85,85,85,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Information Security,85,85,85,85,85,85,95,100,85,85,85,85,85,85,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Computer Information Systems,95,95,85,85,85,85,85,85,100,95,85,85,85,85,85,75,60,70,40,75,75,75,75,80,75,75,40,30,75,75,75,40,75,75,75,75,30,75,75,10,10,75,75,60,20,75,75,15,75,75,70,15,85,85,60,60,60,60,60,60,60,15,15,60,60,60,60,60,60,10,10,10,10,60,60,60,60,60,60,15,60,60,60,30,25,50,50,20,25,50,50,50,25,25,50,20,25,25,50,50,50,75,20,20,20,20,20,20,20,20,20,15,25,10,20,15,15,10,20,15,20,10,5,10,50,10,95,20,60,15,60,60,15,10,30,5,15,80,25,15,5,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,20,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
Information Systems,85,95,85,85,85,85,85,85,95,100,85,85,85,85,85,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,60,75,75,75,60,75,75,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,20,20,20,20,20,20,20,20,50,50,50,20,20,60,60,20,60,20,20,20,20,50,20,20,20,60,20,60,60,20,50,50,20,60,50,60,20,60,60,20,50,50,20,60,50,20,60,60,20,50,20,20,50,60,60,60,20,20,20,20,20,60,20,20,20,20,60,60,50,20,60,60,20,60,20,20,20,20,50,20,50,20,50,50,20,20,60,20,20,60,60,40,40,40,40,40,20,60,20,60,60,40,60,20,40,60,20,60,20,20,20,20,60,60,20,60,20,50,20,60,20,20,60,20,60,50,60,60,50,20,20,20,60,60,60,50,20,20,50,20,20,20,20,20,60,20,60,20,60,60,20,20,60,20,20,60,20,60,20,20,20,60,20,20,20,60,20,60,20
