Science,Commerce,Computer Science,Mechanical Engineering,Software Development,Civil Engineering,Business Management,Business Administration,Computer Engineering,Software Engineering,Electronics and Telecommunication Engineering,Information Technology,Electrical and Electronic Engineering,Arts,Electronics and Communication Engineering,Biotechnology,Finance,Accounts,Economics,Hospitality and Tourism Management,Diploma,Psychology,Architecture,Pharmaceutical Sciences,Medical Science,Pharmacy,Computer Technology,Electrical Engineering,Chemistry,Agricultural Science,General Studies,Nursing,Mathematics,Law,Artificial Intelligence,Marketing,Computer Information Systems,Electronics Engineering,Physics,Chemical Engineering,Dentistry,Human Resource Management,Human Resource Development,Financial Management,Data Science and Analytics,Language and Literature,Political Science,Physiotherapy,Sales,Microbiology,English,Biology,Computing,Aeronautical Engineering,Aerospace Engineering,Design,International Business,Media and Mass Communication,Banking,Business Analytics,History,Food Science,Advertising,Interior Design,Life Science,Biomedical Engineering,Health Science,Sociology,Agribusiness,Information Systems,Mechanical and Mechatronics Engineering,Instrumentation,Statistics,Journalism,Marketing Management,Biochemistry,Animation,Zoology,Automotive Engineering,Mechatronics,Business Analysis,Agriculture,Geography,Architectural Engineering,Visual Arts,Physical Education,Medical Technology,Forensic Science,Humanities,Operations,Geology,E-business,Digital Business,Actuarial Science,Petroleum Engineering,Social Work,Product Design Engineering,Construction Management,Industrial Engineering,Process Engineering,Cyber Security,Environmental Engineering,Dietetics,Horticulture,Nutrition,Agronomy,Financial Services,Philosophy,Bioinformatics,Dental Hygiene,Clinical Sciences,Supply Chain Management,Gender Studies,Robotics,Travel and Tourism,Multimedia,Mining Engineering,Film,Forestry,Logistics,Physiology,Healthcare,Public Health,Public Relations,Medical Radiation Technology,Project Management,Urban Planning,Textile,International Relations,Manufacturing Engineering,Marine Engineering,Aviation,Industrial Design,Criminology,Liberal Arts,Metallurgical Engineering,Sports Science,Fine Arts,Health Psychology,Environmental Science,Telecommunications Engineering,Veterinary Science,Culinary Skills,Game Design,Engineering Management,Power Engineering,Graphics,Textile Engineering,Web Design,Taxation,Lab Technician,Radiologic Science,International Management,Structural Engineering,Construction,Audiology,Teacher Education,Genetics,Drug Development,Fisheries,Public Administration,Biomedical Sciences,Behavioral Sciences,Culinary Arts,Material Science,Photography,Textiles,Sports Management,Anthropology,Information Security,Entrepreneurship,IT Business Analytics,Electromechanical Engineering,Event Management,Programming,Meteorology,Neuroscience,Management Consulting,Technical Management,Transportation,Physical Sciences,Applied Arts,Human Service,Plastics Engineering,Fire Science,Music,Machine Learning,Occupational Therapy,Nanoscience,Sales,Animal Science,Elementary Education,Energy Systems Technology,Primary Education,Renewable Energy,Education Assistance,Early Childhood Education,Educational Training,Community Development,Dairy,Speech Pathology,Mobile Communication,Poultry,Marine Biology,Plant Science,Education Counseling,Psychiatric Nursing,Software Testing,Aviation Technology,Public Policy,Secondary Education,Astronomy,Geotechnical Engineering,Geophysics,Networking,Therapist Assistant,Interactive Media,Mariculture,Legal Assistant,Developmental Service Worker,Library,Mobile Application,Mining,Respiratory Care,Painting,Animal Care,Theology,Customer Intelligence,Physical Activity,Process Engineering,Cinematography,Organizational Management,Archaeology,Broadcasting,Ceramics,Communicative Disorder,Justice and Emergency Services,Theatre,Astrophysics,Art,Oral Science,Child and Youth Worker,Fishery,Real Estate,Water Resource,Speech Therapy,Animal Conservation,Property Administration,Biomechanical Devices,Child Care,Criminal Science,Cytotechnology,Exercise,Fitness,Immunology,Innovation,Intercultural Communication,Nuclear Engineering,Public Affairs,Aesthetics,Cultural Studies,Heating,Office Administration,Paper and Bioprocess,Studio Art,Conflict Analysis,Interdisciplinary Studies,Police and Public Safety,Publishing,Autism,Bakery and Pastry Arts,Kinesiology,Sculpture,Spatial Engineering,Wine Making,Acupuncture,Court Support,Creative Writing,Drama,Exhibition/Event,Gerontology,Hair Styling,Interdisciplinary Engineering,Midwifery,Museum and Gallery Studies,Wildlife Ecosystem,Brewery,Carpentry,Esthetic Services,Ethnic Studies,Firefighting,International Criminology,Massage Therapy,Military,Reading,Therapeutic Recreation,Welding and Fabrication,Winery,Woodworking
Science,100,10,80,60,60,60,20,20,60,60,60,60,60,10,60,80,10,10,10,10,10,10,20,80,80,80,60,60,100,80,20,60,100,10,60,10,60,60,100,80,60,10,10,10,60,10,10,60,10,80,10,100,60,60,60,10,10,10,10,10,10,60,10,10,100,80,80,10,60,60,60,60,80,10,10,100,10,100,60,60,10,80,20,20,10,10,60,80,10,10,20,10,10,10,60,10,10,10,60,60,60,60,10,60,60,60,10,10,60,10,60,10,10,60,10,10,60,10,60,10,80,60,60,10,60,10,10,10,10,60,60,60,10,10,10,60,60,10,10,80,60,60,10,10,10,60,10,10,10,10,60,60,10,60,10,10,10,80,60,60,10,80,10,10,60,10,10,10,10,60,10,10,60,10,60,60,80,10,10,10,100,10,10,60,10,10,60,10,60,10,80,10,60,10,60,10,10,10,10,60,10,10,60,80,80,10,10,10,60,10,10,60,60,60,60,10,10,60,10,10,10,10,60,10,10,10,10,10,10,60,10,10,10,10,10,10,10,10,60,10,10,10,60,10,60,10,60,10,60,10,10,60,10,10,80,10,10,60,10,10,10,10,10,60,10,10,10,10,10,10,10,10,10,60,10,10,10,10,10,10,10,10,60,10,10,60,10,10,10,10,10,10,10,10,10,10,10,10,10
Commerce,10,100,20,10,20,10,100,100,10,20,10,20,10,20,10,10,100,100,100,80,20,20,10,10,10,10,10,10,10,10,20,10,20,80,20,100,20,10,10,10,10,100,80,100,20,20,80,10,100,10,20,10,20,10,10,20,100,80,100,100,20,10,100,20,10,10,10,20,10,20,10,10,80,20,100,10,20,10,10,10,100,10,10,10,20,10,10,10,20,100,10,100,100,80,10,20,10,10,10,10,20,10,10,10,10,10,100,20,10,10,10,100,20,10,80,20,10,20,10,100,10,10,10,100,10,100,10,10,80,10,10,10,10,10,20,10,10,20,10,10,10,10,20,20,20,10,20,10,20,100,10,10,100,10,10,10,20,10,10,10,100,10,20,20,10,20,10,100,20,20,100,100,10,100,20,10,10,100,100,20,10,20,20,10,10,20,20,10,10,100,10,20,10,20,10,20,20,20,20,10,10,10,10,10,10,20,10,20,10,80,20,10,10,10,20,10,20,10,80,20,20,20,10,10,20,10,20,100,20,10,20,100,20,20,20,20,20,20,10,20,10,20,10,100,10,10,10,100,10,20,20,10,20,20,10,100,20,10,80,20,20,10,100,10,20,100,20,20,100,20,20,20,20,10,20,20,80,100,20,100,20,20,10,10,20,10,20,20,20,20,20,20,20,20,100,20,10,20,20
Computer Science,40,20,100,40,100,30,25,30,90,95,70,100,60,5,40,15,20,15,25,10,10,15,10,10,10,10,90,60,15,15,20,10,85,10,100,25,70,70,70,20,10,20,25,25,90,5,10,10,20,10,5,10,100,20,20,20,20,10,10,80,5,5,10,10,10,20,10,15,10,70,30,20,80,5,30,10,10,5,10,30,60,10,5,10,5,5,10,10,5,10,5,60,60,20,10,10,10,10,20,20,100,10,5,5,5,5,20,5,60,5,10,20,5,80,10,20,10,5,5,20,10,10,10,10,10,60,5,5,5,20,10,10,10,10,5,10,10,5,5,10,80,5,5,80,60,10,20,5,80,10,5,5,20,10,10,5,10,10,10,5,10,10,10,5,10,5,5,10,5,100,20,80,20,10,100,5,10,20,60,10,20,5,10,10,5,5,100,5,10,20,5,5,10,5,10,5,5,5,5,5,5,80,5,5,5,5,5,80,10,10,5,5,10,5,100,5,20,5,5,5,5,80,10,5,5,5,5,20,5,20,5,20,5,5,5,5,5,5,5,5,5,5,5,10,5,5,5,10,10,5,10,5,5,5,5,20,5,10,10,5,5,5,10,5,5,5,10,10,5,5,5,5,5,10,5,5,5,5,5,5,5,5,10,5,5,5,5,5,5,5,5,10,5,10,5,5,10,5,5
Mechanical Engineering,60,10,40,100,30,60,20,20,60,60,60,60,60,10,60,80,10,10,10,10,10,10,20,80,80,80,60,60,100,80,20,60,100,10,60,10,60,60,100,80,60,10,10,10,60,10,10,60,10,80,10,100,60,60,60,10,10,10,10,10,10,60,10,10,100,80,80,10,60,60,60,60,80,10,10,100,10,100,60,60,10,80,20,20,10,10,60,80,10,10,20,10,10,10,60,10,10,10,60,10,60,60,10,60,60,60,10,10,60,10,60,10,10,60,10,10,60,10,60,10,80,60,60,10,60,10,10,10,10,60,60,60,10,10,10,60,60,10,10,80,60,60,10,10,10,60,10,10,10,10,60,60,10,60,10,10,10,80,60,60,10,80,10,10,60,10,10,10,10,60,10,10,60,10,60,60,80,10,10,10,100,10,10,60,10,10,60,10,60,10,80,10,60,10,60,10,10,10,10,60,10,10,60,80,80,10,10,10,60,10,10,60,60,60,60,10,10,60,80,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,60,10,10,10,60,10,60,10,60,10,60,10,10,60,10,10,80,10,10,60,10,10,10,10,10,60,10,10,10,10,10,10,10,10,10,60,10,10,10,10,10,10,10,10,60,10,10,60,10,10,10,10,10,10,10,10,10,10,10,10,10
Software Development,30,20,100,30,100,20,20,20,60,60,60,60,60,10,60,80,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,80,20,100,20,10,10,10,10,100,80,100,20,20,80,10,100,10,20,10,20,10,10,20,100,80,100,100,20,10,100,20,10,10,10,20,10,20,10,10,80,20,100,10,20,10,10,10,100,10,10,10,20,10,10,10,20,100,10,100,100,80,10,20,10,10,10,10,20,10,10,10,10,10,100,20,10,10,10,100,20,10,80,20,10,20,10,100,10,10,10,100,10,100,10,10,80,10,10,10,10,10,20,10,10,20,10,10,10,10,20,20,20,10,20,10,20,100,10,10,100,10,10,10,20,10,10,10,100,10,20,20,10,20,10,100,20,20,100,100,10,100,20,10,10,100,100,20,10,20,20,10,10,20,20,10,10,100,10,20,10,20,10,20,20,20,20,10,10,10,10,10,10,20,10,20,10,80,20,10,10,10,20,10,20,10,80,20,20,20,10,10,20,10,20,100,20,10,20,100,20,20,20,20,20,20,10,20,10,20,10,100,10,10,10,100,10,20,20,10,20,20,10,100,20,10,80,20,20,10,100,10,20,100,20,20,100,20,20,20,20,10,20,20,80,100,20,100,20,20,10,10,20,10,20,20,20,20,20,20,20,20,100,20,10,20,20
Civil Engineering,60,10,30,60,20,100,20,20,60,60,60,60,60,10,60,80,10,10,10,10,10,10,20,80,80,80,60,60,100,80,20,60,100,10,60,10,60,60,100,80,60,10,10,10,60,10,10,60,10,80,10,100,60,60,60,10,10,10,10,10,10,60,10,10,100,80,80,10,60,60,60,60,80,10,10,100,10,100,60,60,10,80,20,20,10,10,60,80,10,10,20,10,10,10,60,10,10,10,60,10,60,60,10,60,60,60,10,10,60,10,60,10,10,60,10,10,60,10,60,10,80,60,60,10,60,10,10,10,10,60,60,60,10,10,10,60,60,10,10,80,60,60,10,10,10,60,10,10,10,10,60,60,10,60,10,10,10,80,60,60,10,80,10,10,60,10,10,10,10,60,10,10,60,10,60,60,80,10,10,10,100,10,10,60,10,10,60,10,60,10,80,10,60,10,60,10,10,10,10,60,10,10,60,80,80,10,10,10,60,10,10,60,60,60,60,10,10,60,80,20,20,20,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,60,10,10,10,60,10,60,10,60,10,60,10,10,60,10,10,80,10,10,60,10,10,10,10,10,60,10,10,10,10,10,10,10,10,10,60,10,10,10,10,10,10,10,10,60,10,10,60,10,10,10,10,10,10,10,10,10,10,10,10,10
Business Management,20,100,25,20,20,20,100,100,60,60,60,60,60,10,60,80,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,80,20,100,20,10,10,10,10,100,80,100,20,20,80,10,100,10,20,10,20,10,10,20,100,80,100,100,20,10,100,20,10,10,10,20,10,20,10,10,80,20,100,10,20,10,10,10,100,10,10,10,20,10,10,10,20,100,10,100,100,80,10,20,10,10,10,10,20,10,10,10,10,10,100,20,10,10,10,100,20,10,80,20,10,20,10,100,10,10,10,100,10,100,10,10,80,10,10,10,10,10,20,10,10,20,10,10,10,10,20,20,20,10,20,10,20,100,10,10,100,10,10,10,20,10,10,10,100,10,20,20,10,20,10,100,20,20,100,100,10,100,20,10,10,100,100,20,10,20,20,10,10,20,20,10,10,100,10,20,10,20,10,20,20,20,20,10,10,10,10,10,10,20,10,20,10,80,20,10,10,10,20,10,20,10,80,20,20,20,10,10,20,10,20,100,20,10,20,100,20,20,20,20,20,20,10,20,10,20,10,100,10,10,10,100,10,20,20,10,20,20,10,100,20,10,80,20,20,10,100,10,20,100,20,20,100,20,20,20,20,10,20,20,80,100,20,100,20,20,10,10,20,10,20,20,20,20,20,20,20,20,100,20,10,20,20
Business Administration,20,100,25,20,20,20,100,100,25,25,20,25,20,20,20,10,100,100,100,80,20,20,20,10,10,10,20,20,10,10,20,10,20,80,25,100,25,20,10,10,10,100,80,100,25,20,80,10,100,10,20,10,20,10,10,20,100,80,100,100,20,10,100,20,10,10,10,20,10,20,10,10,80,20,100,10,20,10,10,10,100,10,10,10,20,10,10,10,20,100,10,100,100,80,10,20,10,10,10,10,20,10,10,10,10,10,100,20,10,10,10,100,20,10,80,20,10,20,10,100,10,10,10,100,10,100,10,10,80,10,10,10,10,10,20,10,10,20,10,10,10,10,20,20,20,10,20,10,20,100,10,10,100,10,10,10,20,10,10,10,100,10,20,20,10,20,10,100,20,20,100,100,10,100,20,10,10,100,100,20,10,20,20,10,10,20,20,10,10,100,10,20,10,20,10,20,20,20,20,10,10,10,10,10,10,20,10,20,10,80,20,10,10,10,20,10,20,10,80,20,20,20,10,10,20,10,20,100,20,10,20,100,20,20,20,20,20,20,10,20,10,20,10,100,10,10,10,100,10,20,20,10,20,20,10,100,20,10,80,20,20,10,100,10,20,100,20,20,100,20,20,20,20,10,20,20,80,100,20,100,20,20,10,10,20,10,20,20,20,20,20,20,20,20,100,20,10,20,20
Computer Engineering,40,20,90,40,90,30,25,30,100,95,80,85,70,10,70,15,20,15,25,10,10,10,20,80,80,80,60,60,100,80,20,60,100,10,60,10,60,60,100,80,60,10,10,10,60,10,10,60,10,80,10,100,60,60,60,10,10,10,10,10,10,60,10,10,100,80,80,10,60,60,60,60,80,10,10,100,10,100,60,60,10,80,20,20,10,10,60,80,10,10,20,10,10,10,60,10,10,10,60,10,60,60,10,60,60,60,10,10,60,10,60,10,10,60,10,10,60,10,60,10,80,60,60,10,60,10,10,10,10,60,60,60,10,10,10,60,60,10,10,80,60,60,10,10,10,60,10,10,10,10,60,60,10,60,10,10,10,80,60,60,10,80,10,10,60,10,10,10,10,60,10,10,60,10,60,60,80,10,10,10,100,10,10,60,10,10,60,10,60,10,80,10,60,10,60,10,10,10,10,60,10,10,60,80,80,10,10,10,60,10,10,60,60,60,60,10,10,60,80,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,60,10,10,10,60,10,60,10,60,10,60,10,10,60,10,10,80,10,10,60,10,10,10,10,10,60,10,10,10,10,10,10,10,10,10,60,10,10,10,10,10,10,10,10,60,10,10,60,10,10,10,10,10,10,10,10,10,10,10,10,0
Software Engineering,40,20,95,40,95,30,25,30,95,100,75,90,65,10,65,15,20,15,25,10,10,10,10,10,10,10,10,10,10,10,20,10,20,80,20,100,20,10,10,10,10,100,80,100,20,20,80,10,100,10,20,10,20,10,10,20,100,80,100,100,20,10,100,20,10,10,10,20,10,20,10,10,80,20,100,10,20,10,10,10,100,10,10,10,20,10,10,10,20,100,10,100,100,80,10,20,10,10,10,10,20,10,10,10,10,10,100,20,10,10,10,100,20,10,80,20,10,20,10,100,10,10,10,100,10,100,10,10,80,10,10,10,10,10,20,10,10,20,10,10,10,10,20,20,20,10,20,10,20,100,10,10,100,10,10,10,20,10,10,10,100,10,20,20,10,20,10,100,20,20,100,100,10,100,20,10,10,100,100,20,10,20,20,10,10,20,20,10,10,100,10,20,10,20,10,20,20,20,20,10,10,10,10,10,10,20,10,20,10,80,20,10,10,10,20,10,20,10,80,20,20,20,10,10,20,10,20,100,20,10,20,100,20,20,20,20,20,20,10,20,10,20,10,100,10,10,10,100,10,20,20,10,20,20,10,100,20,10,80,20,20,10,100,10,20,100,20,20,100,20,20,20,20,10,20,20,80,100,20,100,20,20,10,10,20,10,20,20,20,20,20,20,20,20,100,20,10,20,20
